date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:56	85/85	---MCZ	200	added ('OK')	text/plain	date:Sun,%2028%20Apr%202019%2018:28:56%20GMT	https://www.jump6.com/robots.txt		(from )
14:28:56	24820/24820	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202019%2018:28:56%20GMT	https://www.jump6.com/	C:/My%20Web%20Sites/Test/www.jump6.com/index.html	(from )
14:28:57	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2028%20Apr%202019%2018:28:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Test/www.googletagmanager.com/gtm.05445.delayed	(from https://www.jump6.com/)
14:28:57	21008/21008	---MCZ	200	added ('OK')	text/css	etag:W/%225c76e13a-5210%22	https://www.jump6.com/wp-content/themes/jump6_com/style.css	C:/My%20Web%20Sites/Test/www.jump6.com/wp-content/themes/jump6_com/style.css	(from https://www.jump6.com/)
14:28:57	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225c632a22-47e%22	https://www.jump6.com/wp-content/themes/jump6_com/images/favicon.ico	C:/My%20Web%20Sites/Test/www.jump6.com/wp-content/themes/jump6_com/images/favicon.ico	(from https://www.jump6.com/)
14:28:58	7789/7789	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Aug%202016%2014:15:29%20GMT	https://static.nkpmedical.com/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/Test/static.nkpmedical.com/magnific-popup/magnific-popup.css	(from https://www.jump6.com/)
14:28:58	25242/25242	---MCZ	200	added ('OK')	text/css	etag:W/%225c2fb651-629a%22	https://www.jump6.com/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	C:/My%20Web%20Sites/Test/www.jump6.com/wp-includes/css/dist/block-library/style.min3c21.css	(from https://www.jump6.com/)
14:28:58	31237/31237	---MC-	200	added ('OK')	application/rss+xml	etag:W/%22554cdd4d8cc572ed6706c1dc8eeb988a-gzip%22	https://www.jump6.com/feed/	C:/My%20Web%20Sites/Test/www.jump6.com/feed/index.html	(from https://www.jump6.com/)
14:28:58	1685/1685	---MCZ	200	added ('OK')	text/css	etag:W/%225c632a23-695%22	https://www.jump6.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.1	C:/My%20Web%20Sites/Test/www.jump6.com/wp-content/plugins/contact-form-7/includes/css/styles3c21.css	(from https://www.jump6.com/)
14:28:58	3376/3376	---MCZ	200	added ('OK')	text/css	etag:W/%225c632a23-d30%22	https://www.jump6.com/wp-content/plugins/patient-before-after-gallery-single/css/photos.css?ver=1550002723	C:/My%20Web%20Sites/Test/www.jump6.com/wp-content/plugins/patient-before-after-gallery-single/css/photos427e.css	(from https://www.jump6.com/)
